country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Algeria,Africa,Northern Africa,3.98,3.52,4.06,3.92,9.95,10.84,11.30,14.26,258.3,8.94
Egypt,Africa,Northern Africa,5.28,5.76,9.78,31.38,44.09,45.46,54.32,76.48,1348.5,3.11
Libya,Africa,Northern Africa,3.45,8.12,9.38,10.91,16.53,8.06,8.68,11.10,221.7,-51.24
Morocco,Africa,Northern Africa,12.51,12.91,17.38,19.01,26.40,15.19,20.29,29.57,136.4,-42.46
Sudan,Africa,Northern Africa,No data,No data,7.88,6.26,9.02,4.60,6.50,No data,-17.5,-49.00
Tunisia,Africa,Northern Africa,6.43,7.37,8.90,9.52,10.30,7.83,8.53,10.58,64.5,-23.98
